---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0x7fbd2462f10f0f7120737ed1018d4640f9dde385,63,4470.08,70.9537,8,20,23,23,9,5,100,2024-01-27 16:50:20.000 UTC
0x4e617fbd5fd649d2bb44400ae2d31900b9192941,63,4553.32,72.2749,8,19,22,21,9,5,100,2024-01-27 17:18:02.000 UTC
0x7c13881dbb82a1df3d8b1c1d553de6c2a2067882,61,4451.36,72.9731,8,20,22,23,9,5,100,2024-01-27 18:37:00.000 UTC
0xcb957799333118424efb149ad7a3e10f2f83c7f0,62,4496.3,72.521,8,20,23,21,9,5,100,2024-01-27 19:06:14.000 UTC
0x16b91e0c6d9e656f1b655cb67613d2d56a50b7f5,62,4447.11,71.7276,8,19,23,22,9,5,100,2024-01-28 00:24:15.000 UTC
0x8fbafc555d5da0b27ef9def21741b78a61e54f58,63,4574.75,72.6151,8,20,23,21,9,5,100,2024-01-28 02:22:06.000 UTC
0x4deedeaba5c5a038eb0b2c5414de8ec1f3a58c95,60,4452.01,74.2002,8,20,22,23,9,5,100,2024-01-28 02:55:30.000 UTC
0xca935104421ba744d95d20a61c26f8cd8633c065,61,4505.91,73.8674,8,18,23,23,9,5,100,2024-01-28 04:13:55.000 UTC
0x99fa8ad6827b471aa72bb0fc711fa9f2c34e5cae,61,4626.44,75.8433,8,19,23,21,9,5,100,2024-01-28 06:03:23.000 UTC
0xf5f1b85641806385d9003ed872603062573279f9,60,4681.79,78.0298,8,18,22,20,9,5,100,2024-01-28 07:17:01.000 UTC
0x44ba69ad3bc419759e8cd5e58a24f8e6966e45e5,61,4375.79,71.7343,8,21,23,23,9,5,100,2024-01-28 08:34:33.000 UTC
0x3ff316f49b2221f9d4250e9851963222c95f0fbf,60,4484.51,74.7418,8,20,22,21,9,5,100,2024-01-28 09:00:32.000 UTC
0xbf695677c1be34d96ad09e87951907b99c0400fe,64,8763.11,136.9236,7,14,15,17,10,4,105,2024-01-22 16:50:21.000 UTC
0x8426b5702c74b26aa03a1e3f7c1ded2789b6e19e,64,11682.21,182.5345,7,15,14,18,10,4,105,2024-01-22 17:35:42.000 UTC
0xf4b97b119bb1a1fa055ab444d7f919b1dc44e8dc,61,12289.87,201.4733,7,13,14,21,10,4,105,2024-01-22 21:49:30.000 UTC
0xb37528c70f69e204932810977d29d432ce607c13,63,8095.2,128.4952,7,13,15,15,10,4,105,2024-01-22 21:51:58.000 UTC
0x8b6cf8176c015ea6671c559787385c8163cbac88,63,7846.22,124.5432,7,15,12,17,10,4,105,2024-01-22 22:49:35.000 UTC
0x7d301a4146715e0a2b5e0addf6cecc67cff17e68,63,7936.36,125.974,7,11,13,19,10,4,105,2024-01-22 23:12:49.000 UTC
0x38d344b74222b09552d7bd2a872e702086e882ab,62,9148.54,147.5571,7,14,13,19,10,4,105,2024-01-23 00:24:57.000 UTC
0xb4e32cae960770a16fadc91802e80a8dbb1ac649,62,5620.48,90.6529,7,12,15,19,10,4,105,2024-01-23 01:08:57.000 UTC
0x81b4c57d19a19c4f3f3bb3d2e7306afb2ee68658,64,11992.17,187.3777,7,15,14,17,10,4,105,2024-01-23 01:44:24.000 UTC
0x75234f3bea4c1f3aba5bafb9f60e3ce56004daec,61,7666.11,125.6739,7,13,13,18,10,4,105,2024-01-23 01:57:15.000 UTC
0x0d5098c5dd943f10ad60df76b318769f1e548c86,64,11911.15,186.1117,7,12,15,18,10,4,105,2024-01-23 02:40:40.000 UTC
0x1059758f4cc2fc49c8c365c55cb8d648522791b8,63,12522.36,198.7676,7,15,14,18,10,4,105,2024-01-23 03:03:18.000 UTC
0x38c61924d62fc89c6a735dfde6b2d8655127fdb1,62,12346.39,199.1353,7,12,14,18,10,4,105,2024-01-23 03:13:54.000 UTC
0x9dc162359891463f73e41f3c00807913fbbcf0ae,64,7742.2,120.9719,7,12,14,19,10,4,105,2024-01-23 03:21:35.000 UTC
0x892cebf7a2bdf4c545b6a088a4edce5df47c8d27,64,7967.45,124.4914,7,14,14,20,10,4,105,2024-01-23 03:22:05.000 UTC
0x0c1ddfafeaca8bd7cdfe89aac4b05d1420de4087,61,7000.99,114.7703,7,12,14,16,10,4,105,2024-01-23 08:25:50.000 UTC
0x3441272aa6f17114bb6e0d7ca7fe5e09ac978f1f,61,5908.55,96.8615,9,14,14,14,6,4,128,2023-12-31 11:51:00.000 UTC
0x3ee83ef86388bd12dd6f682a503b00a66cf5fbda,60,17490.28,291.5047,9,14,15,13,6,4,128,2023-12-31 11:53:06.000 UTC
0xd3d34119d99ae83800ff99b728d15b05caaf5c18,60,5584.72,93.0787,9,13,14,14,6,4,128,2023-12-31 11:54:34.000 UTC
0x74c0fde44c307f911232d401175500b2a8030603,60,5300.49,88.3415,9,12,14,15,6,4,128,2023-12-31 11:56:54.000 UTC
0xb50437548be0a7047ecb6e9b8a45b3062ec5cd29,61,5953.75,97.6025,9,14,14,13,6,4,128,2023-12-31 11:57:20.000 UTC
0xd6ef0716eeae5ee5d125e0174f56c98cfc317f39,63,17149.13,272.2084,9,16,14,14,6,4,128,2023-12-31 12:06:54.000 UTC
0x32686e9e1490829055805f1e9da9f4803d293951,62,6132.99,98.9192,9,15,13,14,6,4,128,2023-12-31 12:34:17.000 UTC
0x526284c9f5d9aa899b828d75f971bf101b97fc98,62,5265.78,84.9319,9,13,14,14,6,4,128,2023-12-31 12:35:29.000 UTC
0x7e2b5234fc5dd1489fc09c1571ee67ce82b3ca39,60,5641.75,94.0292,9,13,14,14,6,4,128,2023-12-31 12:41:07.000 UTC
0xc679367a2e64ced29d1ee400ed7b87bae969e1af,60,5822.37,97.0395,9,14,14,14,6,4,128,2023-12-31 13:01:30.000 UTC
0xbdd3bd12ff365e10822a3072bcceafe7bfdc642a,61,11929.96,195.5731,9,14,15,14,6,4,128,2023-12-31 13:19:45.000 UTC
0x5e98b3dcf3c1462baf3aa821a3568f16f46023ce,60,5782.3,96.3717,9,13,15,14,6,4,128,2023-12-31 13:20:53.000 UTC
0x1bac30255c700a04c91d5c9bfae48b96654f48c0,61,5815.56,95.337,9,16,15,14,6,4,128,2023-12-31 13:29:56.000 UTC
0x832b626b2f4e6688dc07d804388c2fe1dd8c5af0,60,5740.12,95.6687,9,14,15,15,6,4,128,2023-12-31 13:29:58.000 UTC
