---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0xeeedc9e43f6c1ecd5fdff559c1120a6cf1580983,232,0.0,0.0,2,13,2,62,15,5,98,2024-01-28 09:35:42.000 UTC
0xdcf2c30d594f679b035ee8d57f2d7ab456dad378,223,0.0,0.0,2,13,3,62,15,5,98,2024-01-28 09:47:52.000 UTC
0xbfe062dec5339f4ee305a91ac485f4152c9a1d61,251,0.0,0.0,3,14,3,65,15,5,98,2024-01-28 09:49:35.000 UTC
0x231561d7abd2bd14d647e90f7924dd1a7bf22a1c,243,0.0,0.0,2,13,2,63,15,5,98,2024-01-28 09:53:06.000 UTC
0xfe1904682453e44fee843765b0415691a2eedb0c,254,0.0,0.0,3,14,3,63,15,5,98,2024-01-28 09:57:21.000 UTC
0xee852fcc48e5805cf15d0f64a0b8f7aba7a8917e,231,0.0,0.0,2,13,2,60,15,5,98,2024-01-28 10:04:12.000 UTC
0x2f48a10091d1476724c9e71d8250b5418e7d23f5,271,0.0,0.0,3,14,3,66,15,5,98,2024-01-28 10:20:13.000 UTC
0x01b81bb01ac3f897eff7572543a4f7289b8b2a1c,228,0.0,0.0,2,13,2,61,15,5,98,2024-01-28 10:21:54.000 UTC
0x94c5c09e48dbaa17615ff5d28c775a5a915b3085,267,0.0,0.0,3,14,3,64,15,5,98,2024-01-28 10:28:23.000 UTC
0x3b5f66a66b27057006972efba64b93069d09a3d4,243,0.0,0.0,2,14,3,63,15,5,98,2024-01-28 10:30:50.000 UTC
0x59a0fdd8b14e9109b8d20cb12d1b3b2717b79681,216,0.0,0.0,2,13,2,59,15,5,98,2024-01-28 10:31:32.000 UTC
0x6ecd2576441509065fee534ce1535397f15605f9,237,0.0,0.0,2,13,2,62,15,5,98,2024-01-28 10:32:20.000 UTC
0x75837dd41486cb0d437d15cc6c9c1c7b2cf32aba,257,0.0,0.0,2,14,3,62,15,5,98,2024-01-28 10:37:35.000 UTC
