---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0x79535163878bb3cedf9dc12efee00515274f4eb8,119,1587.76,13.3425,9,14,16,63,20,5,145,2023-12-11 16:21:47.000 UTC
0xf05a50e7fa84d078e41d2ffeaed9e7e1abf72a2c,119,1584.96,13.319,9,14,16,62,20,5,145,2023-12-11 18:08:22.000 UTC
0x09a8496b6acc3731b7c154ca2ecb67df9536a991,120,1779.96,14.833,9,14,16,61,20,5,145,2023-12-11 18:22:22.000 UTC
0xdd8ed6910d17198c2260c7af757a7852b2246613,118,1204.29,10.2058,9,13,16,61,20,5,145,2023-12-11 18:45:22.000 UTC
0x3ccef8ebf82b96612af44b85f8b0f3c64c7e97c9,118,1352.17,11.4591,9,13,15,61,20,5,145,2023-12-11 19:17:47.000 UTC
0xe5406f8d655276c1e2a64dbef84783bb0970ee26,117,1355.64,11.5867,9,12,15,60,20,5,145,2023-12-11 20:13:02.000 UTC
0xfff4f10bdc0f5b4a134bc5d30644502bed5e2cd0,118,1557.19,13.1965,9,14,16,62,20,5,145,2023-12-11 20:17:47.000 UTC
0x2aeec454c267b75dacdc29f59996c1e14fa1b114,59,665.96,11.2875,7,10,14,30,19,7,158,2023-11-29 13:32:04.000 UTC
0x0e779f44eb9aa0ef85e5872c004620b7b99ca30c,38,103.19,2.7155,4,14,9,30,19,10,353,2023-05-17 22:08:36.000 UTC
0xd34a7768140b7b49ea212cd790734e86f6670b0d,38,84.24,2.2168,4,12,9,30,19,10,353,2023-05-17 22:20:54.000 UTC
0x2da918a73bb800c3625e0cd834bbe530d5b69398,38,81.11,2.1345,4,12,9,30,19,10,353,2023-05-17 22:32:16.000 UTC
0x7997801f0cc76a27d5728aa6437879f3c4170fab,38,80.73,2.1245,4,12,9,30,19,10,353,2023-05-17 22:34:10.000 UTC
0xa5e2c489d18db1f9671e2558cdc9a24d9220e2fc,37,88.04,2.3795,4,12,9,30,19,10,353,2023-05-17 22:54:02.000 UTC
0x0e892b70e1e2e6ac67d9d391a72a8ef2460fc95d,40,119.62,2.9905,4,12,9,31,19,10,353,2023-05-17 22:59:49.000 UTC
0x19e880e9c06fe5e97321573611b8c25e32db4a7f,38,84.71,2.2292,4,12,9,30,19,10,353,2023-05-17 23:01:29.000 UTC
0x1134e30d6b8ee1b6585fa342091a2707e29eacb1,37,91.49,2.4727,4,11,9,31,19,10,353,2023-05-17 23:03:38.000 UTC
0x7a2d97f05cdd360f6a0fd28dd5ec160c9aed28fc,39,83.59,2.1433,4,13,9,32,19,10,353,2023-05-17 23:12:42.000 UTC
0x33488060c7716a34d82d0d7606443c291248e4ed,39,81.57,2.0915,4,13,9,32,19,10,353,2023-05-17 23:20:10.000 UTC
0x6738b123feb37b1fe7e1f6f6619ce67a343d285b,37,87.48,2.3643,4,13,9,30,19,10,353,2023-05-17 23:23:44.000 UTC
0x2b36af6fa662fedadab82f434084a6ec96ef4121,37,84.32,2.2789,4,13,9,31,19,10,353,2023-05-17 23:31:20.000 UTC
0x123204090049331ae7a0c08264477e16030db481,39,118.74,3.0446,4,13,9,32,19,10,353,2023-05-17 23:33:00.000 UTC
0x019a2fb76d05c5dd4e2ae5583c61dae63602744a,39,101.52,2.6031,4,14,9,32,19,10,353,2023-05-17 23:37:14.000 UTC
0xfe338772326bb3d343aaea3da1c6774e41dc1889,36,108.35,3.0097,4,14,9,30,19,10,353,2023-05-17 23:47:12.000 UTC
0xe001d6771e955e2812eaf4b3b76bc105d89ca92d,42,72.68,1.7305,4,14,8,31,19,10,353,2023-05-18 00:00:48.000 UTC
0x613f5fa8b5ae2956c1a6e6f1fbde49c0e019e9fd,42,78.37,1.866,4,11,9,31,19,10,353,2023-05-18 00:02:34.000 UTC
0xd2c9aa82ddfd2d63179889c929373ab1cbd50f4b,40,81.21,2.0302,4,13,9,31,19,10,353,2023-05-18 00:16:20.000 UTC
0x447d55f65abda807c0c3af45a57c7be7192f308a,40,78.52,1.963,4,13,9,31,19,10,353,2023-05-18 00:40:14.000 UTC
0x02b58ccaa6a2f945bc8eb57048dedd2454bd09bb,41,84.21,2.0539,4,12,9,30,19,10,353,2023-05-18 00:48:02.000 UTC
0xc0e552b869f85aa67ba8ad65c1d04ac6ad635833,43,131.07,3.0481,4,15,9,34,22,11,353,2023-05-17 20:22:08.000 UTC
0x9895d9a86ed8dc978cd366586f147ca604681ce0,42,128.55,3.0607,4,13,9,32,22,11,353,2023-05-17 20:28:14.000 UTC
0x43f507d774de85d21249325722200ef8816a828a,43,132.44,3.08,4,13,9,33,22,11,353,2023-05-17 21:57:26.000 UTC
0x8227a5f995bf865a5adfe0b216b2139fcb159828,46,816.04,17.74,7,18,22,32,18,6,367,2023-05-03 20:01:35.000 UTC
0xbf55ddfd67681c379e8ed83051b7032b22c5b356,46,816.05,17.7402,7,18,22,32,18,6,367,2023-05-03 20:03:02.000 UTC
0x1a477588ba77ec4bd0c94428e3fb394e7ea8d6b7,45,837.52,18.6116,7,18,21,33,18,6,367,2023-05-03 20:48:50.000 UTC
0x8afe129e44e744cbf21eb6396155064c46965ba7,46,842.69,18.3193,7,19,23,33,18,6,367,2023-05-03 21:17:11.000 UTC
0x4449fabf9efee6c644dbd8c1314709b0ab645be6,46,869.61,18.9046,7,19,23,33,18,6,367,2023-05-03 21:17:32.000 UTC
0x9044620d515fe7aeeb956483fd121843e71eb562,46,863.97,18.782,7,19,23,33,18,6,367,2023-05-03 21:17:32.000 UTC
0x285d6cd9991405e4958a497a4ffefb5c87e892bb,46,859.55,18.6859,7,19,23,33,18,6,367,2023-05-03 21:17:32.000 UTC
0xcb3021f4a2d35e7a421b0bdc1eeec3791c79150a,46,869.3,18.8978,7,19,23,33,18,6,367,2023-05-03 21:18:35.000 UTC
0x66ce84c8758e03fdf28641095a5713930efd8ccc,47,865.25,18.4096,7,18,22,33,18,6,367,2023-05-03 21:19:38.000 UTC
0xdf35f2bedc0d467ee8e5ee0b95ddce487d9f8d7a,116,144.46,1.2453,8,14,23,31,16,10,370,2023-04-30 20:32:12.000 UTC
0x8870f6f6f9a3b4a88d0b903049cb3e70a48ad69a,115,156.73,1.3629,8,15,23,32,16,10,370,2023-04-30 20:32:24.000 UTC
0x8e1efa95e766020447e2ef9f417a5f9f7cfc13fe,117,144.29,1.2332,8,15,22,32,16,10,370,2023-04-30 20:34:16.000 UTC
0xd6b33dad7a805a2f4e89b519a7a8967e11088f23,117,151.67,1.2963,8,15,23,34,16,10,370,2023-04-30 20:35:45.000 UTC
0xaef58a211173f50c7435cfd0b7ef004ffd1cfd07,116,152.37,1.3135,8,14,23,32,16,10,370,2023-04-30 20:36:36.000 UTC
0x9b9d31330b13b32723f101822e31556e7cee4ecf,116,192.49,1.6594,8,14,23,31,16,10,370,2023-04-30 20:37:19.000 UTC
0x5a7a41a669a06af1e27a0121a10ac0d99323f1b0,115,166.99,1.4521,8,15,23,30,16,10,370,2023-04-30 20:37:56.000 UTC
0x02d5bd08eb8afad0e9856e91acd951c9d9a9920e,116,175.12,1.5097,8,14,22,32,16,10,370,2023-04-30 20:38:24.000 UTC
0xd07cf5e6b65198f474e600c03fff7ba081924901,117,183.25,1.5662,8,14,22,32,16,10,370,2023-04-30 20:40:21.000 UTC
0x8a460ef91e41e243e76af5d68312ac4a03fc060f,118,148.1,1.2551,8,14,23,32,16,10,370,2023-04-30 20:40:42.000 UTC
0xf31674d31051f839a6b5fcf6b37ee27488481e97,116,157.16,1.3548,8,15,23,32,16,10,370,2023-04-30 20:41:10.000 UTC
0x9771b93d9d409547d3c4233986f75c4506a2553e,116,159.81,1.3777,8,15,22,30,16,10,370,2023-04-30 20:42:18.000 UTC
0x506aee6055bc2bba80e1362589585ecaad7189ad,118,168.25,1.4258,8,15,23,34,16,10,370,2023-04-30 20:43:14.000 UTC
0xa722fddd58d50f698e114e5cb0d449bba9aa6d00,115,133.85,1.1639,8,15,23,31,16,10,370,2023-04-30 20:44:25.000 UTC
0x2e958cc4995527aba82cde2ad2d0221043d8799e,116,162.16,1.3979,8,14,23,30,16,10,370,2023-04-30 20:45:07.000 UTC
0x6c2057dcb4b1f677f00a8269bd07e1a12c1124f9,115,124.24,1.0803,8,14,22,30,16,10,370,2023-04-30 20:45:42.000 UTC
0x3b0536a9a6b5b19ba9ee92d277f022655babb14e,115,144.69,1.2582,8,14,22,33,16,10,370,2023-04-30 20:46:04.000 UTC
0xa95237509445ee4b25e251fa1cf4ac5fb0bf6026,115,156.87,1.3641,8,14,22,30,16,10,370,2023-04-30 20:48:52.000 UTC
0xd97fe6bd7bce931b299f5e4ba48c8c5ca85fa45d,117,117.47,1.004,8,14,23,32,16,10,370,2023-04-30 20:49:21.000 UTC
0xc8181ee642de9eb7f8a2f439edf7868639f6a29e,116,118.95,1.0254,8,14,23,33,16,10,370,2023-04-30 20:53:34.000 UTC
0x0fe2c1237eb39996d40b65ec7050eb66c837b317,115,158.02,1.3741,8,15,23,32,16,10,370,2023-04-30 20:53:52.000 UTC
0xcffa255de984aaad2bb0aca6912efdeb1931b0a5,117,153.92,1.3156,8,14,24,33,16,10,370,2023-04-30 20:56:07.000 UTC
0x3abeb88bba7c7d49721bc0216eb677bbe0214fbf,116,123.9,1.0681,8,14,23,34,16,10,370,2023-04-30 20:56:48.000 UTC
0x7fb9497a4b16920775b0cae88bfa56e82b0afe91,115,123.7,1.0757,8,15,22,30,16,10,370,2023-04-30 20:57:11.000 UTC
0x26a48bf10aaa930cf73d0b7c8e59a67a2ebddd76,116,148.15,1.2772,8,14,22,30,16,10,370,2023-04-30 20:57:30.000 UTC
0xdc31e26fc5cfbe11469432b94efa885927656ecb,116,156.93,1.3528,8,14,23,33,16,10,370,2023-04-30 20:58:04.000 UTC
0x84de9ec958e90d315bf8229332068617b89f14a7,115,160.78,1.3981,8,15,23,30,16,10,370,2023-04-30 20:58:24.000 UTC
0x2098c49b8ffdab4fece6ef467f1145987c4ae44c,114,189.74,1.6644,8,14,22,31,16,10,370,2023-04-30 20:58:44.000 UTC
0x2fb8381e8a6fa59687c681340d341d43239434e9,115,179.8,1.5635,8,14,23,30,16,10,370,2023-04-30 21:01:10.000 UTC
0x65dd33e7a8483d0c621c138a88b81b3ee1ca17f0,116,159.44,1.3745,8,15,23,31,16,10,370,2023-04-30 21:01:21.000 UTC
0xb4c54657ccbdd89f3581034f05f9830a6d40697c,115,159.73,1.389,8,14,23,30,16,10,370,2023-04-30 21:01:39.000 UTC
0x1e28d0341759a017bdc4c274402600dd4fe56ee5,116,171.74,1.4805,8,14,23,31,16,10,370,2023-04-30 21:01:47.000 UTC
0x8fdad5e93ddf5ade2b85dcc968c55b5e9cc7915d,116,189.59,1.6344,8,14,23,30,16,10,370,2023-04-30 21:03:38.000 UTC
0x5e8311e5621b949459d8f0d73ddcabe50d08dfd0,115,150.01,1.3044,8,14,23,33,16,10,370,2023-04-30 21:07:21.000 UTC
0x813a2a9ac2c4222a7f54ba0320124281ce574b09,116,164.41,1.4173,8,14,22,32,16,10,370,2023-04-30 21:08:08.000 UTC
0x887394d5aea85b5a043b7f615eb29f83648bd812,115,146.9,1.2774,8,14,23,32,16,10,370,2023-04-30 21:10:01.000 UTC
0xeec4aa1999a3407883b515d375bef91a719c2689,116,117.98,1.0171,8,14,23,30,16,10,370,2023-04-30 21:13:40.000 UTC
0x7c303aae9ef1b4a3ade76efe376fcfe4e8b90c6a,115,121.16,1.0536,8,14,23,33,16,10,370,2023-04-30 21:14:57.000 UTC
0xd7d4cfed0e24bb7d7b87122117b60d7a208b00a5,115,161.17,1.4015,8,14,22,30,16,10,370,2023-04-30 21:16:16.000 UTC
0xc77b2c398702725b5e9b873a08360f70897aa48d,115,154.31,1.3418,8,14,23,30,16,10,370,2023-04-30 21:18:03.000 UTC
0x12dd27d0c3b2a6730ebe87adce6a79e074fbd6ba,116,161.16,1.3893,8,14,23,32,16,10,370,2023-04-30 21:27:09.000 UTC
0x99517e5309f16b9bf4f4a2b97b75e347ca99757d,115,146.38,1.2729,8,14,22,30,16,10,370,2023-04-30 21:27:09.000 UTC
0x1de4bd65703d568b28e26243635eb5a26dd83c25,116,153.33,1.3218,8,14,22,32,16,10,370,2023-04-30 21:31:04.000 UTC
0x3f8bbb3a6c3aa31a817d414c34d32c7185047ef2,114,119.27,1.0462,8,14,22,30,16,10,370,2023-04-30 21:35:18.000 UTC
0xd333cd2c1440e9663fcf3d6ebcc15a8b706924eb,117,152.9,1.3068,8,14,23,32,16,10,370,2023-04-30 21:40:18.000 UTC
0x2c90fc0ae0a9ab95f0725762fcde523addd41554,116,169.89,1.4646,8,14,23,33,16,10,370,2023-04-30 21:42:42.000 UTC
0xbf3da5327eaf6d968a183e3849a10ceea5e79daf,117,173.05,1.4791,8,14,22,32,16,10,370,2023-04-30 21:48:30.000 UTC
0x0c043789adfbc6285820644b25f66fd403ac11c1,116,146.28,1.261,8,14,23,31,16,10,370,2023-04-30 21:48:47.000 UTC
0x1e1f0408cc731ba1a145bf9bf903ed57415d226c,116,148.82,1.2829,8,14,22,33,16,10,370,2023-04-30 21:50:00.000 UTC
0xaac858565089bbdee34b0bd77f06e6ded956bb2a,118,189.93,1.6096,8,14,22,34,16,10,370,2023-04-30 21:50:41.000 UTC
0x2e7bfb7b5daf1152b4cb28bcca92109acf648028,115,140.33,1.2203,8,15,23,30,16,10,370,2023-04-30 21:52:24.000 UTC
0x1832fbe1b8edadca9ed993ba522db4bab461f87c,116,194.34,1.6753,8,15,23,33,16,10,370,2023-04-30 21:54:52.000 UTC
0x2acfb0b081ec748ec5ab5da8fb367212cc2782c1,115,148.55,1.2917,8,14,23,30,16,10,370,2023-04-30 21:55:31.000 UTC
0x240de1d821db059cbb3fdc63e6fd0ed1b0e12be2,117,157.43,1.3456,8,14,22,31,16,10,370,2023-04-30 21:57:51.000 UTC
0x19bdabbebac3c9132a11de981f9e7b891f66d8bb,115,139.91,1.2166,8,14,23,30,16,10,370,2023-04-30 21:59:16.000 UTC
0x905eab69d1c9b3d0cc386c157d07394fe7654615,115,165.06,1.4353,8,15,23,31,16,10,370,2023-04-30 21:59:52.000 UTC
0x7b9c81e202764e5ab580e70c6979b685ab51dcde,115,161.39,1.4034,8,14,22,32,16,10,370,2023-04-30 22:01:09.000 UTC
0xc606e84fae1ac9e15a5173a19d80907d15937ade,116,134.91,1.163,8,15,23,30,16,10,370,2023-04-30 22:10:57.000 UTC
0x06806e2074c23ffc5adf42a2d3a8f31fac66cf34,115,372.16,3.2362,8,14,27,42,18,10,387,2023-04-14 13:15:16.000 UTC
0x6482a231e66457f9ed45a68bd35005226c3ba79d,113,375.79,3.3256,8,14,27,39,18,10,387,2023-04-14 13:22:13.000 UTC
0xad31e916a5f7a478092502241791c14559c9efab,114,338.4,2.9684,8,14,27,41,18,10,387,2023-04-14 13:24:02.000 UTC
0xcb6c6a2c087c8e32fd3e0525bce386645e0afb14,116,328.78,2.8343,8,14,27,42,18,10,387,2023-04-14 13:27:07.000 UTC
0x5538eb3a97725ee6e2cfcacdaefb04635abff92f,115,371.77,3.2328,8,15,27,39,18,10,387,2023-04-14 13:38:15.000 UTC
0x4447585bc96b40a1992cdb38212112bf78c6ad09,113,474.9,4.2027,8,15,27,40,18,10,387,2023-04-14 13:45:20.000 UTC
0x63598e8d8b044049f43a4a7dffca5c0e602fd96d,113,301.89,2.6716,8,14,27,39,18,10,387,2023-04-14 13:58:40.000 UTC
0x9c404c5dc628d084cd7f1d83dc497bedfa44cfa0,113,322.68,2.8556,8,15,27,40,18,10,387,2023-04-14 14:08:04.000 UTC
0x4b1d2b2115210dd2b215f27090becc76228678ac,114,362.68,3.1814,8,14,27,39,18,10,387,2023-04-14 14:12:50.000 UTC
0x36b3350f5bbc4cbede8dec69b76c0d608bb5e1df,113,349.2,3.0903,8,14,27,37,18,10,387,2023-04-14 14:15:13.000 UTC
0x60e9a7c5b52d05c3bd74fa1c06d1aac04d94ac11,114,420.6,3.6895,8,14,27,40,18,10,387,2023-04-14 14:17:27.000 UTC
0xc842c294a17437d6e5da1bef1769419071be8791,115,341.59,2.9703,8,15,26,42,18,10,387,2023-04-14 14:24:03.000 UTC
0x4385f0985f8b6ff3c44da2cc923919395db12669,113,362.87,3.2112,8,15,27,38,18,10,387,2023-04-14 14:27:55.000 UTC
0x22b43aadac8e6e3a92100e6031281a386224b137,114,425.8,3.7351,8,15,27,40,18,10,387,2023-04-14 14:38:19.000 UTC
0x13535428521ca81bf9bf10b5e6308e6a88b590d1,113,280.22,2.4798,8,15,27,36,18,10,387,2023-04-14 14:41:58.000 UTC
0xecdd5672dcbe04c45157ae513728a702b9e1ddcb,115,313.4,2.7252,8,14,28,41,18,10,387,2023-04-14 14:45:23.000 UTC
0x61e36b1fad8eb06dc47977f2b04524c69f8a82e8,113,279.28,2.4715,8,15,27,38,18,10,387,2023-04-14 15:06:02.000 UTC
0x652651fe8dc03d8b2967375fb49e6b78a5d985a9,115,321.26,2.7936,8,14,27,38,18,10,387,2023-04-14 15:40:36.000 UTC
0xc48fa336c7fe3466edb1a552d372bbf62d778b70,114,343.8,3.0158,8,14,26,38,18,10,387,2023-04-14 15:44:59.000 UTC
0xf35fd9a3cdfe87368e46c0053b792d7e91505070,115,261.19,2.2712,8,14,26,38,18,10,387,2023-04-14 15:54:55.000 UTC
0x1186c054f13c218e0a5fd9c12031e11c8550e6ee,115,311.15,2.7057,8,14,26,39,18,10,387,2023-04-14 15:58:05.000 UTC
0xbc6a5bb83c6f67ac52de03259fe64e165c4e74c3,114,258.02,2.2633,8,14,28,37,18,10,387,2023-04-14 16:04:05.000 UTC
0xfab15d1190cc744da23db7efea7e034f92039808,51,1012.68,19.8565,9,26,20,32,17,11,497,2022-12-25 05:46:11.000 UTC
0xa62ebecec445ba242469ad0d8268d705fcb751e4,51,1013.25,19.8676,9,26,21,33,17,11,497,2022-12-25 06:24:26.000 UTC
0x4cd0f69f9f99377ef9824e4b817e77eb3b87b2eb,51,1013.24,19.8675,9,26,21,33,17,11,497,2022-12-25 06:30:41.000 UTC
0xebda9fd9c8c1dbb0d20e3d413d734bdb4c027ff5,51,1011.01,19.8237,9,24,20,34,17,11,497,2022-12-25 11:45:45.000 UTC
0x9f00ca462aa50b24e57774f12cb76f3a53fa9aa6,51,1012.36,19.8502,9,24,20,33,17,11,497,2022-12-25 11:51:15.000 UTC
0x64e620693c80848f020f4107ab0b69e084d9a59f,52,1011.33,19.4487,9,24,19,34,17,11,497,2022-12-25 11:52:45.000 UTC
0x28264b6fcc0056fcd31c89472c13b4037f4897e7,52,1010.96,19.4415,9,26,21,32,17,11,497,2022-12-25 12:34:30.000 UTC
0xcfa26e69b0d49d9528843be1e88f46e16fef3301,54,1009.44,18.6933,9,31,21,30,17,11,497,2022-12-25 12:36:00.000 UTC
0x11064482ee3a9bf0c743726fb74317683f77c697,51,1012.3,19.849,9,25,20,34,18,11,497,2022-12-25 07:00:41.000 UTC
0xf214a98933d39b698b89e9a2b104e12f5cbe093c,52,1011.31,19.4483,9,24,20,34,18,11,497,2022-12-25 11:23:42.000 UTC
0xaa072ed6cedc8637e1088d9894b3b2bad3409548,52,1010.95,19.4413,9,24,20,35,18,11,497,2022-12-25 11:26:12.000 UTC

# Description

1. Data Collection

Collect transaction data from the blockchain, including transaction counts, transaction amounts, transaction times, sources, and destination addresses.

2. Feature Extraction

Extract useful features, such as the transaction frequency, transaction amount distribution, transaction time intervals, and associated addresses for each address.

3. Similarity Analysis:

Compare the transaction patterns and features of each address to identify clusters of highly similar addresses. Sybil addresses often exhibit highly similar transaction behaviors.

4. Clustering Analysis:

Use clustering algorithms (such as K-means, DBSCAN, etc.) to group addresses with similar behaviors, identifying potential Sybil addresses.

5. Anomaly Detection:

Use anomaly detection methods (such as statistical methodsetc.) to identify addresses with significantly different transaction behaviors compared to normal addresses.

# Detailed Methodology & Walkthrough


The following is the rearranged data header
All data is sorted in descending order by created_at
```
address,tx_count,total_amount,amount_avg,Source_chain,Destination_chain,Contracts_count,active_day,active_week,active_month,created_day,created_at
```

To analyze on-chain Sybil addresses using the data in your table, follow a structured approach that includes data preprocessing, feature extraction, clustering, and anomaly detection.

Extract relevant features from the data. For simplicity, let's focus on tx_count, amount, amount_avg, Source_chain, Destination_chain, Contracts_count, and created_day.

1. grouping by `week_month_created_day` is effective, especially when processing on-chain data, and helps aggregate data with similar time characteristics for analysis.

2. Count the number of occurrences of `tx_count` and calculate 1/4 of the total data volume as the threshold.
Above and below the threshold may be sybil

3. filter address by `Source_chain` in groups

4. Standard deviation detection on `total_amount` excludes outliers to more accurately identify witch behavior on the chain.

5. Excluded Addresses from https://github.com/LayerZero-Labs/sybil-report/blob/main/initialList.txt

# Reward Address (If Eligible)

0x5d5199A3d59F7832762dB564858a1e8E23BdF3BF
