---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0xbc8aea1133abeedd0ee1fa9fcb1f30cf5bede3c9,38,1.72,0.0453,1,20,2,36,14,6,134,2023-12-22 22:31:55.000 UTC
0xadcb88246f2ee596380f085865c9736e5cc96078,37,1.73,0.0468,1,20,2,35,14,6,134,2023-12-22 23:13:03.000 UTC
0x2b0f9ac39c2585439e196bd5661c47bdc1e06945,38,1.72,0.0453,1,19,2,37,14,6,134,2023-12-23 11:08:03.000 UTC
0x5ed13c7be28e8ea57468877b35f60f3002f58aa0,37,1.62,0.0438,1,19,2,36,14,6,134,2023-12-23 12:47:53.000 UTC
0x01cc691267a78127f41d897c68f2ab7d9b96434e,41,1.85,0.0451,1,19,2,32,14,6,134,2023-12-23 14:28:41.000 UTC
0x7c1d37e8d115f26987c837cd9f86ddc8f6c07ae1,40,0.05,0.0013,2,12,5,36,22,9,251,2023-08-27 19:15:41.000 UTC
0x9fc939f5722390efe524bcc76f0ead66821a5680,39,0.06,0.0015,2,11,5,32,22,9,251,2023-08-27 20:29:43.000 UTC
0x960a4477d3802e3ff59f9fa93a67b09c640dc572,40,0.1,0.0025,2,9,4,37,22,9,251,2023-08-28 01:04:14.000 UTC
0x48bc4d9708db6d447b5223126131d2c32e56b0ad,45,0.09,0.002,2,11,4,40,22,9,251,2023-08-28 01:18:05.000 UTC
0x6e7fd70efd31bbeb14cafe2ee8d771969115991e,41,0.06,0.0015,2,8,4,38,22,9,251,2023-08-28 02:58:13.000 UTC
0x6e3aa95730e510d6eb4aab3ce905729359b30bd0,44,0.1,0.0023,2,9,4,39,22,9,251,2023-08-28 03:15:53.000 UTC
0xccb14f42edf7e451d62681ee6a6c071b19f3c538,40,0.09,0.0022,2,10,5,36,22,9,251,2023-08-28 03:56:05.000 UTC
0x615e1e4d3f4b593bf2b2d9250e02af7eae51f492,42,0.07,0.0017,2,10,4,39,22,9,251,2023-08-28 04:32:46.000 UTC
0xf3e101e32cafd1b4f9ba76530826a47f2dd85ca4,44,0.08,0.0018,2,12,5,38,22,9,251,2023-08-28 04:33:34.000 UTC
0xd657f4af29c4ac8d654911c2e6324d99b4bd4ed7,45,0.1,0.0022,2,10,5,40,22,9,251,2023-08-28 05:03:52.000 UTC
0xdaf3a12f5c8f1a5a009718b10a49854514ff90a3,39,0.11,0.0028,2,9,4,37,22,9,251,2023-08-28 06:06:33.000 UTC
0xd89d27e18189f7c94ea678afce26169bc35f16e6,40,0.06,0.0015,2,10,5,36,22,9,251,2023-08-28 06:46:12.000 UTC
0x9ccf18f7a14279c01f96470edc29ddb873705994,42,0.1,0.0024,2,9,4,37,22,9,251,2023-08-28 07:28:11.000 UTC
0xa404fc78d21c511aca070dfd4b25aed3880de704,43,0.08,0.0019,2,10,4,37,22,9,251,2023-08-28 07:35:46.000 UTC
0x25c4464c61a24fff2d7070b9b6b321b2468b2c8f,43,0.08,0.0019,2,11,5,37,22,9,251,2023-08-28 07:37:39.000 UTC
0x8fbeddaa4bb034510fc5aa527ae2ffcd23c84252,42,0.09,0.0021,2,10,4,38,22,9,251,2023-08-28 07:47:10.000 UTC
0x51c4b150d285449110a6d77e4db037fe913fbf12,42,0.05,0.0012,2,11,5,35,22,9,251,2023-08-28 08:29:19.000 UTC
0xfb41fb5df78c7165898cbd2bc795caec4b8c4123,44,0.06,0.0014,2,11,4,42,22,9,251,2023-08-28 09:23:34.000 UTC
0x08c9536fa1fcd8d91b660ec318d1e206387ed426,42,0.04,0.001,2,10,4,38,22,9,251,2023-08-28 10:17:51.000 UTC
0xedc3049f5689dc09440e0f10bf22bbc4209f8b4d,44,0.08,0.0018,2,8,4,40,22,9,251,2023-08-28 11:05:50.000 UTC
0x5358390905e3cb1dd42c6a7f4aba010420165056,42,0.08,0.0019,2,11,5,34,22,9,251,2023-08-28 11:21:36.000 UTC
0xddd77efbbf0647af00ed164d0d15674d28391083,42,0.05,0.0012,2,11,4,38,22,9,251,2023-08-28 11:37:45.000 UTC
0x3c2f99d1de3dd4eeee371430c376cd99f239e788,45,0.09,0.002,2,9,4,42,22,9,251,2023-08-28 11:40:07.000 UTC
0x6a017d8d0b09155250051e4e17194c15d2912f40,42,0.06,0.0014,2,11,4,40,22,9,251,2023-08-28 11:48:40.000 UTC
0x593d768d5c9aa6e9506a87493557d6a34d5c95fa,42,0.07,0.0017,2,10,4,37,22,9,251,2023-08-28 12:19:56.000 UTC
0xa1b1406b3c59d9be87ae9713544609514cb4963e,41,0.05,0.0012,2,11,4,37,23,9,252,2023-08-26 16:32:34.000 UTC
0x7a6e2c7252443de7ae38a122c40ab03200255cb9,43,0.06,0.0014,2,11,5,38,23,9,252,2023-08-26 16:52:08.000 UTC
0x3d0f54c9b992c7f02287e0fd7c9a262e500849f3,43,0.11,0.0026,2,9,4,38,23,9,252,2023-08-26 16:54:40.000 UTC
0xc9da8603dcf5950b3c47b3c54ce131325ec05612,42,0.05,0.0012,2,11,5,38,23,9,252,2023-08-26 17:00:25.000 UTC
0xeec80a46f8e3f4fea63fd893786e39c45a3f7b93,43,0.06,0.0014,2,10,4,38,23,9,252,2023-08-26 18:21:04.000 UTC
0x7d6b89ed6fc790b10257c239449ba160ff02799b,46,0.08,0.0017,2,12,5,40,23,9,252,2023-08-26 18:25:39.000 UTC
0xb84089773733cdea8d4094cb3342e94c7df9fe9b,46,0.07,0.0015,2,12,5,43,23,9,252,2023-08-26 18:53:38.000 UTC
0xa1e04002202df9b9943f2871ea1a8c7d474a5036,41,0.08,0.002,2,11,4,38,23,9,252,2023-08-26 20:05:19.000 UTC
0x5c914d3a5a048351a42ac3d15577b6b669613216,42,0.05,0.0012,2,10,5,40,23,9,252,2023-08-26 20:53:05.000 UTC
0xaf3bc592060bb5e1a41a33b0a38f64c3a363de9a,41,0.1,0.0024,2,10,4,39,23,9,252,2023-08-26 20:54:12.000 UTC
0x0f09553d6f8f4551332faaf2b4695613790ffe0a,45,0.05,0.0011,2,10,4,40,23,9,252,2023-08-26 21:41:51.000 UTC
0x327c3e05bfe6492b7479c4f06ea10af8a2de11a5,40,0.07,0.0018,2,10,4,35,23,9,252,2023-08-26 21:58:04.000 UTC
0xf2514630ef9015bae6eb3c9de22f40335269b918,42,0.1,0.0024,2,9,4,40,23,9,252,2023-08-26 23:05:47.000 UTC
0x864ff3909a2a5bd8c32dbfcb396b8860f0b14d1c,41,0.06,0.0015,2,10,4,39,23,9,252,2023-08-26 23:19:00.000 UTC
0x747fe7ec9cfc41e0af9a02ae555d83dd7a3cf813,42,0.09,0.0021,2,10,5,38,23,9,252,2023-08-26 23:34:23.000 UTC
0x841dc994f81c57ae14b6b0d47961cadab26b840a,45,0.1,0.0022,2,10,4,42,23,9,252,2023-08-27 00:03:32.000 UTC
0x9b06d2aeb8a0843c050a84f5bb04bd5058468d31,42,0.1,0.0024,2,12,5,39,23,9,252,2023-08-27 00:04:09.000 UTC
0x7157fd38855ffdd3af1d05002036f1ec4f5c275d,43,0.04,0.0009,2,9,4,39,23,9,252,2023-08-27 00:06:31.000 UTC
0xdbb6b9ecb37782d28e68e3eacaea90b95d9500b5,44,0.05,0.0011,2,12,4,37,23,9,252,2023-08-27 01:32:36.000 UTC
0x9ffcf63d4d6f329abae2f93bd02ddbdb3ed2b96c,44,0.08,0.0018,2,10,4,40,23,9,252,2023-08-27 10:45:40.000 UTC
0x5daf61ab223042c1940da25b2fd8faf62fadea9e,43,0.09,0.0021,2,11,5,40,23,9,252,2023-08-27 12:04:59.000 UTC
0x75dea07e0ab126235093f9af7cbc92e09dd89997,43,0.04,0.0009,2,12,5,38,23,9,252,2023-08-27 12:44:34.000 UTC
0xdf4d207ed10b46b7e7ab6389219a27d3e912e333,43,0.08,0.0019,2,12,4,39,23,9,252,2023-08-27 13:31:10.000 UTC
0xa28a0db4645fd70487a259198bdf2dd1c6e2c70f,43,0.06,0.0014,2,10,5,40,23,9,252,2023-08-27 16:13:28.000 UTC
0x5153c699e60a547b2da49185f5e3381eaf2a4319,45,0.08,0.0018,2,11,4,41,25,9,252,2023-08-26 16:40:08.000 UTC
0xcc12352ff2a5c09ffbb5f6391c9a5f07665f4e43,47,0.06,0.0013,2,12,5,44,25,9,252,2023-08-26 16:46:39.000 UTC
0x032ef6e35f05f0e0d2cfbf86fe258e8ea08649a7,48,0.09,0.0019,2,10,4,43,25,9,252,2023-08-26 17:15:10.000 UTC
0x7f1bb1432ca09f4f97b2196f7566e863b27aec58,47,0.06,0.0013,2,9,4,45,25,9,252,2023-08-26 17:34:09.000 UTC
0x29905b59dab6194a7c6b12ef565d84360567fc79,46,0.1,0.0022,2,10,4,43,25,9,252,2023-08-26 17:53:55.000 UTC
0x94efc985eb62b3a86fd5a410da2409cfe126fc5f,47,0.08,0.0017,2,11,5,42,25,9,252,2023-08-26 18:00:59.000 UTC
0xc7fe475e0b90d6ceeb5eb29c50d904fc0dda4519,45,0.05,0.0011,2,11,4,40,25,9,252,2023-08-26 18:33:25.000 UTC
0xe3db1fe1889e4e51ef32ac49c11823e6d4a286f7,47,0.1,0.0021,2,10,5,41,25,9,252,2023-08-26 18:35:39.000 UTC
0xfd8ea0b1483e9ea59c0acfed1147704e636fa4bf,46,0.07,0.0015,2,10,5,39,25,9,252,2023-08-26 19:20:52.000 UTC
0xd422a3b2fd9af1a5a262334e514a156892f11fb5,50,0.08,0.0016,2,13,5,45,25,9,252,2023-08-26 19:22:36.000 UTC
