---
name: Sybil Report
about: Report Sybil Activity on LayerZero
title: "[Sybil Report]"
labels: under review
assignees: LayerZero-GH

---

# Reported Addresses

address,tx_count,amount,amount_avg,Source_chain,Destination_chain,Contracts_count,day,week,month,created_day,created_at
0x008df44af03fefd2228ee4569f7d7907c02f0225,96,52353.48,545.3487,9,23,21,57,15,4,125,2024-01-02 11:41:14.000 UTC
0x0b518091e462b4264254f9d99b398d6221475e7b,57,7364.65,129.2044,8,18,11,36,14,5,141,2023-12-17 01:25:59.000 UTC
0x57c30e7f160f1c9452fec5e9c80b16bcffa7d722,55,7281.94,132.3989,8,18,11,35,14,5,141,2023-12-17 01:32:14.000 UTC
0xeedc58fd12c048be415c203e2826ba748d825df0,54,6970.88,129.0904,8,17,11,32,14,5,141,2023-12-17 02:19:34.000 UTC
0x49d9dc715c022e9271c6990e7957f45ef52e0e51,53,7104.54,134.0479,8,17,11,33,14,5,141,2023-12-17 02:30:39.000 UTC
0xbc5e5566e675177d1071030ed13b500c7f9a376c,54,7127.97,131.9994,8,18,11,36,14,5,141,2023-12-17 02:40:14.000 UTC
0xf3cb7f6e3df1970e012b4d08c852598daff59822,56,7103.19,126.8427,8,18,11,34,14,5,141,2023-12-17 02:47:29.000 UTC
0x01069d696c0450412e98d4a073627559b0462980,53,7210.85,136.0538,8,18,11,36,14,5,141,2023-12-17 02:55:09.000 UTC
0x32f57ca6290b221caf8fecf3756241f890580664,55,7317.6,133.0473,8,17,11,32,14,5,141,2023-12-17 03:17:34.000 UTC
0x76caa132000ca8ab44dc106047779ee0f869ee29,55,7535.55,137.01,8,17,11,36,14,5,141,2023-12-17 03:40:54.000 UTC
0x686ef0964c2d3101aaaa2bfc50a6519bc5fa8faa,52,7282.26,140.0435,8,18,11,31,14,5,141,2023-12-17 04:03:54.000 UTC
0xc88e99b687ea700f09f29fb7badbee86d7a6fe0c,55,7378.11,134.1475,8,17,11,35,14,5,141,2023-12-17 04:32:29.000 UTC
0x2685813df20eefea29bdf1b0b751aa284730ac16,56,7398.22,132.1111,8,17,11,34,14,5,141,2023-12-17 04:35:54.000 UTC
0xc4149331a82f97e4b37876b7b409a69d95c74fc4,54,7274.87,134.7198,8,17,11,34,14,5,141,2023-12-17 05:10:14.000 UTC
0x07ecf125f6c29549aee0eecd1d17383630cf64ea,56,7271.14,129.8418,8,18,11,37,14,5,141,2023-12-17 05:26:09.000 UTC
0x2279cccfecacb278ec5916a35c98f3bcb396c340,56,7271.23,129.8434,8,18,11,35,14,5,141,2023-12-17 05:36:19.000 UTC
0x7be73882f03bce010a1584a6aad865e9672323b9,54,7186.74,133.0878,8,17,11,33,14,5,141,2023-12-17 05:54:34.000 UTC
0xc35ccd05cdc673ace6ebc11b27106fd3b7fd3ecc,56,7094.25,126.683,8,18,11,37,14,5,141,2023-12-17 06:05:59.000 UTC
0x22269f38774a5e59020518b314ca06fc17fe936a,56,7439.03,132.8398,8,18,11,36,14,5,141,2023-12-17 06:26:34.000 UTC
0xb0031cd100d01830fcb0da406f18b8ebcc148ade,57,7373.14,129.3533,8,18,11,39,14,5,141,2023-12-17 06:32:34.000 UTC
0xb3d29eac142e93e13325dbd754182f8772fa6d0e,53,7273.23,137.2308,8,18,11,34,14,5,141,2023-12-17 06:42:59.000 UTC
0x9aada12dd637264d762dd0ae0cbbd2ce7bcf7fe4,54,7375.54,136.5841,8,18,11,34,14,5,141,2023-12-17 06:45:44.000 UTC
0xcb85bc5b5ccdc53169acb325a362cbc1462adbd5,54,7242.1,134.113,8,18,11,36,14,5,141,2023-12-17 06:53:34.000 UTC
0x9fdc9d5aa6fc1270aec25a7bc165edf729ff83e2,54,7057.12,130.6874,8,18,11,33,14,5,141,2023-12-17 06:59:19.000 UTC
0xb9b940f5438ec11ef0102a29ebd09df53ba56596,55,7084.35,128.8064,8,17,11,39,14,5,141,2023-12-17 07:10:34.000 UTC
0x2faf839f97f219a6c58d4a758209120f7777b37a,57,7290.47,127.903,8,17,11,39,14,5,141,2023-12-17 07:16:24.000 UTC
